Run_Number,BNF_Version,Fitness_Score,Population,Fitnes_Function,,,,,,,,,,,,
1,1,3,1000,ffv1,,,,,,,,,,,,
1,1,3,1000,ffv1,,,,,,,,,,,,
1,1,3,1000,ffv1,,,,,,,,,,,,
1,1,3,1000,ffv1,,,,,,,,,,,,
1,1,3,1000,ffv1,,,,,,,,,,,,
1,1,3,1000,ffv1,,,,,,,,,,,,
2,1,3,1000,ffv1,,,,,,,,,,,,
2,1,3,1000,ffv1,,,,,,,,,,,,
2,1,3,1000,ffv1,,,,,,,,,,,,
2,1,4,1000,ffv1,,,,,,,,,,,,
2,1,4,1000,ffv1,,,,,,,,,,,,
2,1,4,1000,ffv1,,,,,,,,,,,,
3,1,4,1000,ffv1,,,,,,,,,,,,
3,1,4,1000,ffv1,,,,,,,,,,,,
3,1,4,1000,ffv1,,,,,,,,,,,,
3,1,4,1000,ffv1,,,,,,,,,,,,
3,1,4,1000,ffv1,,,,,,,,,,,,
3,1,4,1000,ffv1,,,,,,,,,,,,
4,1,4,1000,ffv1,,,,,,,,,,,,
4,1,4,1000,ffv1,,,,,,,,,,,,
4,1,3,1000,ffv1,,,,,,,,,,,,
4,1,3,1000,ffv1,,,,,,,,,,,,
4,1,3,1000,ffv1,,,,,,,,,,,,
4,1,3,1000,ffv1,,,,,,,,,,,,
5,1,3,1000,ffv1,,,,,,,,,,,,
5,1,3,1000,ffv1,,,,,,,,,,,,
5,1,3,1000,ffv1,,,,,,,,,,,,
5,1,4,1000,ffv1,,,,,,,,,,,,
5,1,4,1000,ffv1,,,,,,,,,,,,
5,1,3,1000,ffv1,,,,,,,,,,,,
6,1,3,1000,ffv1,,,,,,,,,,,,
6,1,3,1000,ffv1,,,,,,,,,,,,
6,1,3,1000,ffv1,,,,,,,,,,,,
6,1,3,1000,ffv1,,,,,,,,,,,,
6,1,3,1000,ffv1,,,,,,,,,,,,
6,1,3,1000,ffv1,,,,,,,,,,,,
7,1,4,1000,ffv1,,,,,,,,,,,,
7,1,4,1000,ffv1,,,,,,,,,,,,
7,1,3,1000,ffv1,,,,,,,,,,,,
7,1,3,1000,ffv1,,,,,,,,,,,,
7,1,3,1000,ffv1,,,,,,,,,,,,
7,1,3,1000,ffv1,,,,,,,,,,,,
8,1,3,1000,ffv1,,,,,,,,,,,,
8,1,3,1000,ffv1,,,,,,,,,,,,
8,1,4,1000,ffv1,,,,,,,,,,,,
8,1,4,1000,ffv1,,,,,,,,,,,,
8,1,4,1000,ffv1,,,,,,,,,,,,
8,1,4,1000,ffv1,,,,,,,,,,,,
9,1,3,1000,ffv1,,,,,,,,,,,,
9,1,3,1000,ffv1,,,,,,,,,,,,
9,1,3,1000,ffv1,,,,,,,,,,,,
9,1,3,1000,ffv1,,,,,,,,,,,,
9,1,3,1000,ffv1,,,,,,,,,,,,
9,1,3,1000,ffv1,,,,,,,,,,,,
10,1,3,1000,ffv1,,,,,,,,,,,,
10,1,3,1000,ffv1,,,,,,,,,,,,
10,1,3,1000,ffv1,,,,,,,,,,,,
10,1,3,1000,ffv1,,,,,,,,,,,,
10,1,3,1000,ffv1,,,,,,,,,,,,
10,1,3,1000,ffv1,,,,,,,,,,,,
11,1,3,1000,ffv1,,,,,,,,,,,,
11,1,3,1000,ffv1,,,,,,,,,,,,
11,1,3,1000,ffv1,,,,,,,,,,,,
11,1,4,1000,ffv1,,,,,,,,,,,,
11,1,4,1000,ffv1,,,,,,,,,,,,
11,1,3,1000,ffv1,,,,,,,,,,,,
12,1,3,1000,ffv1,,,,,,,,,,,,
12,1,3,1000,ffv1,,,,,,,,,,,,
12,1,3,1000,ffv1,,,,,,,,,,,,
12,1,3,1000,ffv1,,,,,,,,,,,,
12,1,3,1000,ffv1,,,,,,,,,,,,
12,1,3,1000,ffv1,,,,,,,,,,,,
13,1,3,1000,ffv1,,,,,,,,,,,,
13,1,3,1000,ffv1,,,,,,,,,,,,
13,1,4,1000,ffv1,,,,,,,,,,,,
13,1,4,1000,ffv1,,,,,,,,,,,,
13,1,4,1000,ffv1,,,,,,,,,,,,
13,1,4,1000,ffv1,,,,,,,,,,,,
14,1,3,1000,ffv1,,,,,,,,,,,,
14,1,3,1000,ffv1,,,,,,,,,,,,
14,1,3,1000,ffv1,,,,,,,,,,,,
14,1,3,1000,ffv1,,,,,,,,,,,,
14,1,3,1000,ffv1,,,,,,,,,,,,
14,1,4,1000,ffv1,,,,,,,,,,,,
15,1,4,1000,ffv1,,,,,,,,,,,,
15,1,4,1000,ffv1,,,,,,,,,,,,
